time_ms,cpu_usage,workers_active
11,0.00,0
22,0.00,0
32,10.00,1
43,10.00,1
53,20.00,2
64,20.00,2
74,30.00,3
84,30.00,3
95,40.00,4
107,40.00,4
119,75.00,5
131,75.00,5
143,85.00,6
155,85.00,6
165,95.00,7
177,95.00,7
190,100.00,8
202,100.00,8
215,100.00,8
227,100.00,8
240,100.00,8
252,100.00,8
265,100.00,8
277,100.00,8
290,100.00,8
302,100.00,8
315,100.00,8
327,100.00,8
340,100.00,8
352,100.00,8
365,100.00,8
378,100.00,8
390,100.00,8
403,100.00,8
415,100.00,8
428,100.00,8
440,100.00,8
452,100.00,8
464,100.00,8
474,100.00,8
487,100.00,8
499,100.00,8
511,100.00,8
522,100.00,8
533,100.00,8
545,80.00,8
558,80.00,8
570,80.00,8
581,80.00,8
594,80.00,8
607,80.00,8
618,80.00,8
631,80.00,8
644,80.00,8
655,80.00,8
668,80.00,8
679,80.00,8
692,80.00,8
703,100.00,8
714,100.00,8
724,100.00,8
737,100.00,8
749,100.00,8
762,100.00,8
774,100.00,8
787,100.00,8
799,100.00,8
812,100.00,8
822,100.00,8
835,100.00,8
847,100.00,8
860,100.00,8
872,100.00,8
885,100.00,8
897,100.00,8
909,100.00,8
922,100.00,8
934,100.00,8
947,100.00,8
957,100.00,8
970,100.00,8
980,100.00,8
991,100.00,8
1004,100.00,8
1016,100.00,8
1029,100.00,8
1041,100.00,8
1054,100.00,8
1066,100.00,8
1078,100.00,8
1090,100.00,8
1102,100.00,8
1115,100.00,8
1125,100.00,8
1138,100.00,8
1149,100.00,8
1161,100.00,8
1174,100.00,8
1186,100.00,8
1199,100.00,8
1211,100.00,8
1224,100.00,8
1236,100.00,8
1249,100.00,8
1261,100.00,8
1273,100.00,8
1284,100.00,8
1295,100.00,8
1308,100.00,8
1320,100.00,8
1332,100.00,8
1345,100.00,8
1357,100.00,8
1369,100.00,8
1382,100.00,8
1394,100.00,8
1404,100.00,8
1415,100.00,8
1428,100.00,8
1440,100.00,8
1453,100.00,8
1465,100.00,8
1477,100.00,8
1490,100.00,8
1501,100.00,8
1514,100.00,8
1525,100.00,8
1536,100.00,8
1549,100.00,8
1561,100.00,8
1574,100.00,8
1587,100.00,8
1599,100.00,8
1611,100.00,8
1623,100.00,8
1636,100.00,8
1648,100.00,8
1660,100.00,8
1673,100.00,8
1683,100.00,8
1695,100.00,8
1708,100.00,8
1720,100.00,8
1732,100.00,8
1744,100.00,8
1757,100.00,8
1769,100.00,8
1782,100.00,8
1792,100.00,8
1805,100.00,8
1817,100.00,8
1830,100.00,8
1842,100.00,8
1853,100.00,8
1866,100.00,8
1878,100.00,8
1890,100.00,8
1901,100.00,8
1913,100.00,8
1925,100.00,8
1937,100.00,8
1948,100.00,8
1959,100.00,8
1972,100.00,8
1983,100.00,8
1995,100.00,8
2007,100.00,8
2019,100.00,8
2031,100.00,8
2044,100.00,8
2056,100.00,8
2068,100.00,8
2081,100.00,8
2093,100.00,8
2106,100.00,8
2119,100.00,8
2130,100.00,8
2143,100.00,8
2155,100.00,8
2166,100.00,8
2179,100.00,8
2191,100.00,8
2203,100.00,8
2216,100.00,8
2228,100.00,8
2241,100.00,8
2254,100.00,8
2266,100.00,8
2279,100.00,8
2291,100.00,8
2304,100.00,8
2316,100.00,8
2329,100.00,8
2341,100.00,8
2353,100.00,8
2366,100.00,8
2378,100.00,8
2391,100.00,8
2402,100.00,8
2415,100.00,8
2426,100.00,8
2437,100.00,8
2448,100.00,8
2460,100.00,8
2472,100.00,8
2484,100.00,8
2495,100.00,8
2507,100.00,8
2519,100.00,8
2532,100.00,8
2544,100.00,8
2557,100.00,8
2569,100.00,8
2581,100.00,8
2594,100.00,8
2607,100.00,8
2619,100.00,8
2631,100.00,8
2643,100.00,8
2656,100.00,8
2669,100.00,8
2679,100.00,8
